username,reponame,repourl,stars
mrdoob,three.js,https://www.github.com/mrdoob/three.js,104000
pmndrs,react-three-fiber,https://www.github.com/pmndrs/react-three-fiber,28000
libgdx,libgdx,https://www.github.com/libgdx/libgdx,23600
BabylonJS,Babylon.js,https://www.github.com/BabylonJS/Babylon.js,23500
FreeCAD,FreeCAD,https://www.github.com/FreeCAD/FreeCAD,22700
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,21100
lettier,3d-game-shaders-for-beginners,https://www.github.com/lettier/3d-game-shaders-for-beginners,18300
aframevr,aframe,https://www.github.com/aframevr/aframe,16800
blender,blender,https://www.github.com/blender/blender,14000
CesiumGS,cesium,https://www.github.com/CesiumGS/cesium,13200
4ian,GDevelop,https://www.github.com/4ian/GDevelop,12500
isl-org,Open3D,https://www.github.com/isl-org/Open3D,11800
MonoGame,MonoGame,https://www.github.com/MonoGame/MonoGame,11700
mapbox,mapbox-gl-js,https://www.github.com/mapbox/mapbox-gl-js,11400
metafizzy,zdog,https://www.github.com/metafizzy/zdog,10400
timzhang642,3D-Machine-Learning,https://www.github.com/timzhang642/3D-Machine-Learning,9800
nerfstudio-project,nerfstudio,https://www.github.com/nerfstudio-project/nerfstudio,9800
cocos,cocos-engine,https://www.github.com/cocos/cocos-engine,8300
domlysz,BlenderGIS,https://www.github.com/domlysz/BlenderGIS,8000
FyroxEngine,Fyrox,https://www.github.com/FyroxEngine/Fyrox,7900
