username,reponame,repourl,stars
public-apis,public-apis,https://www.github.com/public-apis/public-apis,325000
neovim,neovim,https://www.github.com/neovim/neovim,85500
fastapi,fastapi,https://www.github.com/fastapi/fastapi,80100
hoppscotch,hoppscotch,https://www.github.com/hoppscotch/hoppscotch,66600
strapi,strapi,https://www.github.com/strapi/strapi,64800
ocornut,imgui,https://www.github.com/ocornut/imgui,62700
QuivrHQ,quivr,https://www.github.com/QuivrHQ/quivr,37100
slatedocs,slate,https://www.github.com/slatedocs/slate,36100
trpc,trpc,https://www.github.com/trpc/trpc,35700
Kong,insomnia,https://www.github.com/Kong/insomnia,35500
httpie,cli,https://www.github.com/httpie/cli,34500
ccxt,ccxt,https://www.github.com/ccxt/ccxt,34200
hasura,graphql-engine,https://www.github.com/hasura/graphql-engine,31300
Binaryify,NeteaseCloudMusicApi,https://www.github.com/Binaryify/NeteaseCloudMusicApi,30300
mudler,LocalAI,https://www.github.com/mudler/LocalAI,29700
directus,directus,https://www.github.com/directus/directus,28800
encode,django-rest-framework,https://www.github.com/encode/django-rest-framework,28700
YMFE,yapi,https://www.github.com/YMFE/yapi,27500
littlecodersh,ItChat,https://www.github.com/littlecodersh/ItChat,25800
PostgREST,postgrest,https://www.github.com/PostgREST/postgrest,24200
