username,reponame,repourl,stars
amphp,amp,https://www.github.com/amphp/amp,4300
danog,MadelineProto,https://www.github.com/danog/MadelineProto,2900
amphp,parallel,https://www.github.com/amphp/parallel,800
unreal4u,telegram-api,https://www.github.com/unreal4u/telegram-api,791
amphp,http-client,https://www.github.com/amphp/http-client,708
amphp,byte-stream,https://www.github.com/amphp/byte-stream,372
amphp,mysql,https://www.github.com/amphp/mysql,363
php-service-bus,service-bus,https://www.github.com/php-service-bus/service-bus,345
amphp,parallel-functions,https://www.github.com/amphp/parallel-functions,271
xtrime-ru,TelegramRSS,https://www.github.com/xtrime-ru/TelegramRSS,255
amphp,socket,https://www.github.com/amphp/socket,238
amphp,process,https://www.github.com/amphp/process,235
amphp,dns,https://www.github.com/amphp/dns,167
amphp,sync,https://www.github.com/amphp/sync,167
amphp,redis,https://www.github.com/amphp/redis,160
amphp,websocket-client,https://www.github.com/amphp/websocket-client,148
kelunik,acme,https://www.github.com/kelunik/acme,120
amphp,websocket-server,https://www.github.com/amphp/websocket-server,115
amphp,serialization,https://www.github.com/amphp/serialization,116
amphp,cache,https://www.github.com/amphp/cache,106
