username,reponame,repourl,stars
flutter,flutter,https://www.github.com/flutter/flutter,168000
facebook,react-native,https://www.github.com/facebook/react-native,120000
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,117000
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,112000
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,88000
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,54500
tldr-pages,tldr,https://www.github.com/tldr-pages/tldr,53200
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,51300
google,material-design-icons,https://www.github.com/google/material-design-icons,51000
laurent22,joplin,https://www.github.com/laurent22/joplin,47400
appwrite,appwrite,https://www.github.com/appwrite/appwrite,46700
square,okhttp,https://www.github.com/square/okhttp,46100
android,architecture-samples,https://www.github.com/android/architecture-samples,44700
square,retrofit,https://www.github.com/square/retrofit,43200
skylot,jadx,https://www.github.com/skylot/jadx,42600
dcloudio,uni-app,https://www.github.com/dcloudio/uni-app,40400
fastlane,fastlane,https://www.github.com/fastlane/fastlane,39800
termux,termux-app,https://www.github.com/termux/termux-app,38300
2dust,v2rayNG,https://www.github.com/2dust/v2rayNG,38000
PhilJay,MPAndroidChart,https://www.github.com/PhilJay/MPAndroidChart,37700
