username,reponame,repourl,stars
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,112000
angular,angular,https://www.github.com/angular/angular,96700
storybookjs,storybook,https://www.github.com/storybookjs/storybook,85200
leonardomso,33-js-concepts,https://www.github.com/leonardomso/33-js-concepts,64500
ionic-team,ionic-framework,https://www.github.com/ionic-team/ionic-framework,51300
prettier,prettier,https://www.github.com/prettier/prettier,49800
Asabeneh,30-Days-Of-JavaScript,https://www.github.com/Asabeneh/30-Days-Of-JavaScript,43800
SheetJS,sheetjs,https://www.github.com/SheetJS/sheetjs,35300
angular,angular-cli,https://www.github.com/angular/angular-cli,26800
wailsapp,wails,https://www.github.com/wailsapp/wails,26500
sudheerj,javascript-interview-questions,https://www.github.com/sudheerj/javascript-interview-questions,24800
angular,components,https://www.github.com/angular/components,24500
NativeScript,NativeScript,https://www.github.com/NativeScript/NativeScript,24500
nrwl,nx,https://www.github.com/nrwl/nx,24300
goldbergyoni,javascript-testing-best-practices,https://www.github.com/goldbergyoni/javascript-testing-best-practices,24200
paperless-ngx,paperless-ngx,https://www.github.com/paperless-ngx/paperless-ngx,24100
pubkey,rxdb,https://www.github.com/pubkey/rxdb,21900
jhipster,generator-jhipster,https://www.github.com/jhipster/generator-jhipster,21700
teambit,bit,https://www.github.com/teambit/bit,18000
sweetalert2,sweetalert2,https://www.github.com/sweetalert2/sweetalert2,17500
