username,reponame,repourl,stars
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,67500
ansible,ansible,https://www.github.com/ansible/ansible,63700
trailofbits,algo,https://www.github.com/trailofbits/algo,29100
MichaelCade,90DaysOfDevOps,https://www.github.com/MichaelCade/90DaysOfDevOps,27600
StreisandEffect,streisand,https://www.github.com/StreisandEffect/streisand,23200
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,16400
ansible,awx,https://www.github.com/ansible/awx,14300
semaphoreui,semaphore,https://www.github.com/semaphoreui/semaphore,11100
easzlab,kubeasz,https://www.github.com/easzlab/kubeasz,10700
netbootxyz,netboot.xyz,https://www.github.com/netbootxyz/netboot.xyz,9700
geerlingguy,ansible-for-devops,https://www.github.com/geerlingguy/ansible-for-devops,8600
khuedoan,homelab,https://www.github.com/khuedoan/homelab,8400
Tikam02,DevOps-Guide,https://www.github.com/Tikam02/DevOps-Guide,8300
geerlingguy,mac-dev-playbook,https://www.github.com/geerlingguy/mac-dev-playbook,6100
Orange-Cyberdefense,GOAD,https://www.github.com/Orange-Cyberdefense/GOAD,5800
rundeck,rundeck,https://www.github.com/rundeck/rundeck,5600
ChristianLempa,boilerplates,https://www.github.com/ChristianLempa/boilerplates,5000
KubeOperator,KubeOperator,https://www.github.com/KubeOperator/KubeOperator,5000
clong,DetectionLab,https://www.github.com/clong/DetectionLab,4700
dev-sec,ansible-collection-hardening,https://www.github.com/dev-sec/ansible-collection-hardening,4200
