username,reponame,repourl,stars
arendst,Tasmota,https://www.github.com/arendst/Tasmota,22600
MarlinFirmware,Marlin,https://www.github.com/MarlinFirmware/Marlin,16500
tinygo-org,tinygo,https://www.github.com/tinygo-org/tinygo,15700
arduino,Arduino,https://www.github.com/arduino/Arduino,14200
espressif,arduino-esp32,https://www.github.com/espressif/arduino-esp32,14100
SpacehuhnTech,esp8266_deauther,https://www.github.com/SpacehuhnTech/esp8266_deauther,13700
rwaldron,johnny-five,https://www.github.com/rwaldron/johnny-five,13300
gurugio,lowlevelprogramming-university,https://www.github.com/gurugio/lowlevelprogramming-university,11200
hybridgroup,gobot,https://www.github.com/hybridgroup/gobot,9000
platformio,platformio-core,https://www.github.com/platformio/platformio-core,8100
bblanchon,ArduinoJson,https://www.github.com/bblanchon/ArduinoJson,6800
tzapu,WiFiManager,https://www.github.com/tzapu/WiFiManager,6700
justcallmekoko,ESP32Marauder,https://www.github.com/justcallmekoko/ESP32Marauder,6700
olikraus,u8g2,https://www.github.com/olikraus/u8g2,5300
Serial-Studio,Serial-Studio,https://www.github.com/Serial-Studio/Serial-Studio,5100
omriharel,deej,https://www.github.com/omriharel/deej,4900
ClemensElflein,OpenMower,https://www.github.com/ClemensElflein/OpenMower,4700
Arduino-IRremote,Arduino-IRremote,https://www.github.com/Arduino-IRremote/Arduino-IRremote,4600
arduino,arduino-cli,https://www.github.com/arduino/arduino-cli,4400
hybridgroup,cylon,https://www.github.com/hybridgroup/cylon,4200
