username,reponame,repourl,stars
sindresorhus,awesome,https://www.github.com/sindresorhus/awesome,343000
vinta,awesome-python,https://www.github.com/vinta/awesome-python,231000
awesome-selfhosted,awesome-selfhosted,https://www.github.com/awesome-selfhosted/awesome-selfhosted,213000
trimstray,the-book-of-secret-knowledge,https://www.github.com/trimstray/the-book-of-secret-knowledge,156000
avelino,awesome-go,https://www.github.com/avelino/awesome-go,137000
521xueweihan,HelloGitHub,https://www.github.com/521xueweihan/HelloGitHub,97700
papers-we-love,papers-we-love,https://www.github.com/papers-we-love/papers-we-love,90300
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,88000
jaywcjlove,awesome-mac,https://www.github.com/jaywcjlove/awesome-mac,79100
DopplerHQ,awesome-interview-questions,https://www.github.com/DopplerHQ/awesome-interview-questions,72800
MunGell,awesome-for-beginners,https://www.github.com/MunGell/awesome-for-beginners,71000
enaqx,awesome-react,https://www.github.com/enaqx/awesome-react,66500
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,61300
binhnguyennus,awesome-scalability,https://www.github.com/binhnguyennus/awesome-scalability,60100
sindresorhus,awesome-nodejs,https://www.github.com/sindresorhus/awesome-nodejs,59300
prakhar1989,awesome-courses,https://www.github.com/prakhar1989/awesome-courses,58600
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,54500
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,51300
tiimgreen,github-cheat-sheet,https://www.github.com/tiimgreen/github-cheat-sheet,49200
rust-unofficial,awesome-rust,https://www.github.com/rust-unofficial/awesome-rust,48300
