username,reponame,repourl,stars
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,67500
microsoft,generative-ai-for-beginners,https://www.github.com/microsoft/generative-ai-for-beginners,67300
pulumi,pulumi,https://www.github.com/pulumi/pulumi,22300
danny-avila,LibreChat,https://www.github.com/danny-avila/LibreChat,20700
getsops,sops,https://www.github.com/getsops/sops,17600
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,15200
Azure,azure-quickstart-templates,https://www.github.com/Azure/azure-quickstart-templates,14200
caprover,caprover,https://www.github.com/caprover/caprover,13600
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,13400
infracost,infracost,https://www.github.com/infracost/infracost,11200
prowler-cloud,prowler,https://www.github.com/prowler-cloud/prowler,11100
budtmo,docker-android,https://www.github.com/budtmo/docker-android,10200
google,go-cloud,https://www.github.com/google/go-cloud,9600
microsoft,computervision-recipes,https://www.github.com/microsoft/computervision-recipes,9600
Netflix,metaflow,https://www.github.com/Netflix/metaflow,8500
microsoft,azuredatastudio,https://www.github.com/microsoft/azuredatastudio,7600
YSGStudyHards,DotNetGuide,https://www.github.com/YSGStudyHards/DotNetGuide,7500
midwayjs,midway,https://www.github.com/midwayjs/midway,7500
bridgecrewio,checkov,https://www.github.com/bridgecrewio/checkov,7300
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,7300
