username,reponame,repourl,stars
jlevy,the-art-of-command-line,https://www.github.com/jlevy/the-art-of-command-line,154000
nvm-sh,nvm,https://www.github.com/nvm-sh/nvm,81800
junegunn,fzf,https://www.github.com/junegunn/fzf,67400
starship,starship,https://www.github.com/starship/starship,46700
google,zx,https://www.github.com/google/zx,43500
LeCoupa,awesome-cheatsheets,https://www.github.com/LeCoupa/awesome-cheatsheets,41300
acmesh-official,acme.sh,https://www.github.com/acmesh-official/acme.sh,40900
koalaman,shellcheck,https://www.github.com/koalaman/shellcheck,36800
dylanaraps,pure-bash-bible,https://www.github.com/dylanaraps/pure-bash-bible,36700
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,33600
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,32700
mathiasbynens,dotfiles,https://www.github.com/mathiasbynens/dotfiles,30500
kingToolbox,WindTerm,https://www.github.com/kingToolbox/WindTerm,24700
withfig,autocomplete,https://www.github.com/withfig/autocomplete,24700
ajeetdsouza,zoxide,https://www.github.com/ajeetdsouza/zoxide,24500
asdf-vm,asdf,https://www.github.com/asdf-vm/asdf,22500
dylanaraps,neofetch,https://www.github.com/dylanaraps/neofetch,22400
atuinsh,atuin,https://www.github.com/atuinsh/atuin,22200
warpdotdev,Warp,https://www.github.com/warpdotdev/Warp,22000
Nyr,openvpn-install,https://www.github.com/Nyr/openvpn-install,19500
