username,reponame,repourl,stars
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,81600
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,35500
ccxt,ccxt,https://www.github.com/ccxt/ccxt,34200
bitcoinbook,bitcoinbook,https://www.github.com/bitcoinbook/bitcoinbook,23900
HelloZeroNet,ZeroNet,https://www.github.com/HelloZeroNet/ZeroNet,18400
solana-labs,solana,https://www.github.com/solana-labs/solana,13800
bbfamily,abu,https://www.github.com/bbfamily/abu,12600
askmike,gekko,https://www.github.com/askmike/gekko,10100
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,9400
UFund-Me,Qbot,https://www.github.com/UFund-Me/Qbot,9100
getumbrel,umbrel,https://www.github.com/getumbrel/umbrel,8200
dvf,blockchain,https://www.github.com/dvf/blockchain,7900
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,7800
spesmilo,electrum,https://www.github.com/spesmilo/electrum,7700
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,7200
yeasy,blockchain_guide,https://www.github.com/yeasy/blockchain_guide,6900
btcpayserver,btcpayserver,https://www.github.com/btcpayserver/btcpayserver,6600
btcsuite,btcd,https://www.github.com/btcsuite/btcd,6300
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,6000
bitcoinjs,bitcoinjs-lib,https://www.github.com/bitcoinjs/bitcoinjs-lib,5800
