username,reponame,repourl,stars
ccxt,ccxt,https://www.github.com/ccxt/ccxt,34200
python-telegram-bot,python-telegram-bot,https://www.github.com/python-telegram-bot/python-telegram-bot,26800
feder-cr,Jobs_Applier_AI_Agent,https://www.github.com/feder-cr/Jobs_Applier_AI_Agent,26700
discordjs,discord.js,https://www.github.com/discordjs/discord.js,25600
wechaty,wechaty,https://www.github.com/wechaty/wechaty,20800
RasaHQ,rasa,https://www.github.com/RasaHQ/rasa,19300
InstaPy,InstaPy,https://www.github.com/InstaPy/InstaPy,17000
hubotio,hubot,https://www.github.com/hubotio/hubot,16700
pedroslopez,whatsapp-web.js,https://www.github.com/pedroslopez/whatsapp-web.js,15900
leon-ai,leon,https://www.github.com/leon-ai/leon,15800
Rapptz,discord.py,https://www.github.com/Rapptz/discord.py,15100
tgbot-collection,YYeTsBot,https://www.github.com/tgbot-collection/YYeTsBot,14900
gunthercox,ChatterBot,https://www.github.com/gunthercox/ChatterBot,14200
lss233,chatgpt-mirai-qq-bot,https://www.github.com/lss233/chatgpt-mirai-qq-bot,13700
howdyai,botkit,https://www.github.com/howdyai/botkit,11500
Mrs4s,go-cqhttp,https://www.github.com/Mrs4s/go-cqhttp,10500
sfyc23,EverydayWechat,https://www.github.com/sfyc23/EverydayWechat,10100
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,9400
yagop,node-telegram-bot-api,https://www.github.com/yagop/node-telegram-bot-api,8600
telegraf,telegraf,https://www.github.com/telegraf/telegraf,8500
