username,reponame,repourl,stars
practical-tutorials,project-based-learning,https://www.github.com/practical-tutorials/project-based-learning,214000
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,179000
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,61300
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,55000
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,53400
WerWolv,ImHex,https://www.github.com/WerWolv/ImHex,46700
Light-City,CPlusPlusThings,https://www.github.com/Light-City/CPlusPlusThings,40000
ClickHouse,ClickHouse,https://www.github.com/ClickHouse/ClickHouse,38600
huihut,interview,https://www.github.com/huihut/interview,35300
doocs,leetcode,https://www.github.com/doocs/leetcode,32700
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,32500
CMU-Perceptual-Computing-Lab,openpose,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose,31700
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,31100
aseprite,aseprite,https://www.github.com/aseprite/aseprite,30500
microsoft,calculator,https://www.github.com/microsoft/calculator,30000
dragonflydb,dragonfly,https://www.github.com/dragonflydb/dragonfly,26900
gabime,spdlog,https://www.github.com/gabime/spdlog,25100
changkun,modern-cpp-tutorial,https://www.github.com/changkun/modern-cpp-tutorial,24400
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,23900
ethereum,solidity,https://www.github.com/ethereum/solidity,23800
