username,reponame,repourl,stars
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,117000
neovim,neovim,https://www.github.com/neovim/neovim,85500
obsproject,obs-studio,https://www.github.com/obsproject/obs-studio,61800
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,61300
git,git,https://www.github.com/git/git,53300
FFmpeg,FFmpeg,https://www.github.com/FFmpeg/FFmpeg,47400
serhii-londar,open-source-mac-os-apps,https://www.github.com/serhii-londar/open-source-mac-os-apps,42500
vim,vim,https://www.github.com/vim/vim,37300
curl,curl,https://www.github.com/curl/curl,36600
huihut,interview,https://www.github.com/huihut/interview,35300
mpv-player,mpv,https://www.github.com/mpv-player/mpv,29400
ggreer,the_silver_searcher,https://www.github.com/ggreer/the_silver_searcher,26300
ossrs,srs,https://www.github.com/ossrs/srs,26200
kovidgoyal,kitty,https://www.github.com/kovidgoyal/kitty,26100
raysan5,raylib,https://www.github.com/raysan5/raylib,24500
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,23900
google,flatbuffers,https://www.github.com/google/flatbuffers,23700
ruby,ruby,https://www.github.com/ruby/ruby,22300
hashcat,hashcat,https://www.github.com/hashcat/hashcat,21800
forthespada,CS-Books,https://www.github.com/forthespada/CS-Books,21800
