username,reponame,repourl,stars
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,32700
refined-github,refined-github,https://www.github.com/refined-github/refined-github,25600
openai-translator,openai-translator,https://www.github.com/openai-translator/openai-translator,24100
darkreader,darkreader,https://www.github.com/darkreader/darkreader,20200
dailydotdev,daily,https://www.github.com/dailydotdev/daily,19100
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,16600
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,15100
immersive-translate,immersive-translate,https://www.github.com/immersive-translate/immersive-translate,14500
AutomaApp,automa,https://www.github.com/AutomaApp/automa,14200
unbug,codelf,https://www.github.com/unbug/codelf,14100
alyssaxuu,screenity,https://www.github.com/alyssaxuu/screenity,13400
wong2,chatgpt-google-extension,https://www.github.com/wong2/chatgpt-google-extension,13300
Anarios,return-youtube-dislike,https://www.github.com/Anarios/return-youtube-dislike,12800
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,12200
listen1,listen1_chrome_extension,https://www.github.com/listen1/listen1_chrome_extension,11600
xifangczy,cat-catch,https://www.github.com/xifangczy/cat-catch,11100
PlasmoHQ,plasmo,https://www.github.com/PlasmoHQ/plasmo,11000
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,10700
josStorer,chatGPTBox,https://www.github.com/josStorer/chatGPTBox,10300
chathub-dev,chathub,https://www.github.com/chathub-dev/chathub,10100
