username,reponame,repourl,stars
electron,electron,https://www.github.com/electron/electron,115000
puppeteer,puppeteer,https://www.github.com/puppeteer/puppeteer,89500
microsoft,playwright,https://www.github.com/microsoft/playwright,68700
FiloSottile,mkcert,https://www.github.com/FiloSottile/mkcert,51800
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,32700
feder-cr,Jobs_Applier_AI_Agent,https://www.github.com/feder-cr/Jobs_Applier_AI_Agent,26700
ovity,octotree,https://www.github.com/ovity/octotree,22900
segment-boneyard,nightmare,https://www.github.com/segment-boneyard/nightmare,19600
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,16600
GoogleChrome,chrome-extensions-samples,https://www.github.com/GoogleChrome/chrome-extensions-samples,15900
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,15100
google,WebFundamentals,https://www.github.com/google/WebFundamentals,13900
schickling,chromeless,https://www.github.com/schickling/chromeless,13200
MetaMask,metamask-extension,https://www.github.com/MetaMask/metamask-extension,12300
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,12200
casesandberg,react-color,https://www.github.com/casesandberg/react-color,12100
moonD4rk,HackBrowserData,https://www.github.com/moonD4rk/HackBrowserData,11800
chromedp,chromedp,https://www.github.com/chromedp/chromedp,11300
xifangczy,cat-catch,https://www.github.com/xifangczy/cat-catch,11100
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,10700
