username,reponame,repourl,stars
metabase,metabase,https://www.github.com/metabase/metabase,39700
penpot,penpot,https://www.github.com/penpot/penpot,34800
logseq,logseq,https://www.github.com/logseq/logseq,34400
deeplearning4j,deeplearning4j,https://www.github.com/deeplearning4j/deeplearning4j,13700
LightTable,LightTable,https://www.github.com/LightTable/LightTable,11700
kanaka,mal,https://www.github.com/kanaka/mal,10200
lk-geimfari,awesomo,https://www.github.com/lk-geimfari/awesomo,9500
tonsky,datascript,https://www.github.com/tonsky/datascript,5500
reagent-project,reagent,https://www.github.com/reagent-project/reagent,4800
defold,defold,https://www.github.com/defold/defold,4600
izhangzhihao,intellij-rainbow-brackets,https://www.github.com/izhangzhihao/intellij-rainbow-brackets,4500
riemann,riemann,https://www.github.com/riemann/riemann,4200
babashka,babashka,https://www.github.com/babashka/babashka,4100
weavejester,compojure,https://www.github.com/weavejester/compojure,4100
bbatsov,clojure-style-guide,https://www.github.com/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://www.github.com/status-im/status-mobile,3900
ring-clojure,ring,https://www.github.com/ring-clojure/ring,3800
clojure-emacs,cider,https://www.github.com/clojure-emacs/cider,3600
viebel,klipse,https://www.github.com/viebel/klipse,3100
tallesl,Rich-Hickey-fanclub,https://www.github.com/tallesl/Rich-Hickey-fanclub,3100
