username,reponame,repourl,stars
realm,SwiftLint,https://www.github.com/realm/SwiftLint,18800
facebook,infer,https://www.github.com/facebook/infer,15100
analysis-tools-dev,static-analysis,https://www.github.com/analysis-tools-dev/static-analysis,13500
federico-busato,Modern-CPP-Programming,https://www.github.com/federico-busato/Modern-CPP-Programming,12700
Kristories,awesome-guidelines,https://www.github.com/Kristories/awesome-guidelines,9900
super-linter,super-linter,https://www.github.com/super-linter/super-linter,9600
SonarSource,sonarqube,https://www.github.com/SonarSource/sonarqube,9300
checkstyle,checkstyle,https://www.github.com/checkstyle/checkstyle,8400
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,8100
facebook,pyre-check,https://www.github.com/facebook/pyre-check,6900
detekt,detekt,https://www.github.com/detekt/detekt,6400
trekhleb,state-of-the-art-shitcode,https://www.github.com/trekhleb/state-of-the-art-shitcode,5800
import-js,eslint-plugin-import,https://www.github.com/import-js/eslint-plugin-import,5600
pylint-dev,pylint,https://www.github.com/pylint-dev/pylint,5400
pmd,pmd,https://www.github.com/pmd/pmd,5000
simplecov-ruby,simplecov,https://www.github.com/simplecov-ruby/simplecov,4800
kucherenko,jscpd,https://www.github.com/kucherenko/jscpd,4800
phpro,grumphp,https://www.github.com/phpro/grumphp,4200
htmlhint,HTMLHint,https://www.github.com/htmlhint/HTMLHint,3100
crate-ci,typos,https://www.github.com/crate-ci/typos,2800
