username,reponame,repourl,stars
ohmyzsh,ohmyzsh,https://www.github.com/ohmyzsh/ohmyzsh,176000
junegunn,fzf,https://www.github.com/junegunn/fzf,67400
sherlock-project,sherlock,https://www.github.com/sherlock-project/sherlock,61900
n8n-io,n8n,https://www.github.com/n8n-io/n8n,56300
jesseduffield,lazygit,https://www.github.com/jesseduffield/lazygit,55400
sharkdp,bat,https://www.github.com/sharkdp/bat,50800
BurntSushi,ripgrep,https://www.github.com/BurntSushi/ripgrep,49900
wagoodman,dive,https://www.github.com/wagoodman/dive,49100
All-Hands-AI,OpenHands,https://www.github.com/All-Hands-AI/OpenHands,44400
google,zx,https://www.github.com/google/zx,43500
spf13,cobra,https://www.github.com/spf13/cobra,38900
chubin,cheat.sh,https://www.github.com/chubin/cheat.sh,38800
cli,cli,https://www.github.com/cli/cli,38000
ultralytics,ultralytics,https://www.github.com/ultralytics/ultralytics,35700
sharkdp,fd,https://www.github.com/sharkdp/fd,35300
httpie,cli,https://www.github.com/httpie/cli,34500
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,33600
ibraheemdev,modern-unix,https://www.github.com/ibraheemdev/modern-unix,31500
charmbracelet,bubbletea,https://www.github.com/charmbracelet/bubbletea,29200
tqdm,tqdm,https://www.github.com/tqdm/tqdm,29100
