username,reponame,repourl,stars
vercel,next.js,https://www.github.com/vercel/next.js,129000
rust-lang,rust,https://www.github.com/rust-lang/rust,101000
sveltejs,svelte,https://www.github.com/sveltejs/svelte,81000
webpack,webpack,https://www.github.com/webpack/webpack,65000
FuelLabs,sway,https://www.github.com/FuelLabs/sway,62500
gatsbyjs,gatsby,https://www.github.com/gatsbyjs/gatsby,55600
JetBrains,kotlin,https://www.github.com/JetBrains/kotlin,49800
parcel-bundler,parcel,https://www.github.com/parcel-bundler/parcel,43600
babel,babel,https://www.github.com/babel/babel,43400
evanw,esbuild,https://www.github.com/evanw/esbuild,38500
typst,typst,https://www.github.com/typst/typst,36900
ziglang,zig,https://www.github.com/ziglang/zig,36800
vlang,v,https://www.github.com/vlang/v,36000
markedjs,marked,https://www.github.com/markedjs/marked,33700
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,32500
swc-project,swc,https://www.github.com/swc-project/swc,31600
vercel,pkg,https://www.github.com/vercel/pkg,24300
v8,v8,https://www.github.com/v8/v8,23700
oracle,graal,https://www.github.com/oracle/graal,20600
crystal-lang,crystal,https://www.github.com/crystal-lang/crystal,19600
