username,reponame,repourl,stars
localstack,localstack,https://www.github.com/localstack/localstack,57200
harness,harness,https://www.github.com/harness/harness,32400
jenkinsci,jenkins,https://www.github.com/jenkinsci/jenkins,23500
auchenberg,volkswagen,https://www.github.com/auchenberg/volkswagen,15000
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,13400
dagger,dagger,https://www.github.com/dagger/dagger,11800
openshift,origin,https://www.github.com/openshift/origin,8500
concourse,concourse,https://www.github.com/concourse/concourse,7500
gocd,gocd,https://www.github.com/gocd/gocd,7200
buildbot,buildbot,https://www.github.com/buildbot/buildbot,5300
Flagsmith,flagsmith,https://www.github.com/Flagsmith/flagsmith,5300
gaia-pipeline,gaia,https://www.github.com/gaia-pipeline/gaia,5200
ovh,cds,https://www.github.com/ovh/cds,4600
Strider-CD,strider,https://www.github.com/Strider-CD/strider,4600
jenkins-x,jx,https://www.github.com/jenkins-x/jx,4600
TheLartians,ModernCppStarter,https://www.github.com/TheLartians/ModernCppStarter,4600
JamesIves,github-pages-deploy-action,https://www.github.com/JamesIves/github-pages-deploy-action,4300
werf,werf,https://www.github.com/werf/werf,4300
iterative,cml,https://www.github.com/iterative/cml,4100
SamKirkland,FTP-Deploy-Action,https://www.github.com/SamKirkland/FTP-Deploy-Action,4000
