username,reponame,repourl,stars
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,81600
OpenBB-finance,OpenBB,https://www.github.com/OpenBB-finance/OpenBB,35500
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,35500
ccxt,ccxt,https://www.github.com/ccxt/ccxt,34200
dogecoin,dogecoin,https://www.github.com/dogecoin/dogecoin,14900
hummingbot,hummingbot,https://www.github.com/hummingbot/hummingbot,9400
monero-project,monero,https://www.github.com/monero-project/monero,9200
xmrig,xmrig,https://www.github.com/xmrig/xmrig,9000
dvf,blockchain,https://www.github.com/dvf/blockchain,7900
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,7800
kroma-network,tachyon,https://www.github.com/kroma-network/tachyon,7800
StockSharp,StockSharp,https://www.github.com/StockSharp/StockSharp,7600
firmai,financial-machine-learning,https://www.github.com/firmai/financial-machine-learning,7500
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,7200
cosmos,cosmos-sdk,https://www.github.com/cosmos/cosmos-sdk,6400
sammchardy,python-binance,https://www.github.com/sammchardy/python-binance,6300
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,6000
tendermint,tendermint,https://www.github.com/tendermint/tendermint,5700
chrisleekr,binance-trading-bot,https://www.github.com/chrisleekr/binance-trading-bot,5200
sea-protocol,seaprotocol,https://www.github.com/sea-protocol/seaprotocol,5100
