username,reponame,repourl,stars
crystal-lang,crystal,https://www.github.com/crystal-lang/crystal,19600
kemalcr,kemal,https://www.github.com/kemalcr/kemal,3700
veelenga,awesome-crystal,https://www.github.com/veelenga/awesome-crystal,3400
luckyframework,lucky,https://www.github.com/luckyframework/lucky,2600
amberframework,amber,https://www.github.com/amberframework/amber,2600
vitobotta,hetzner-k3s,https://www.github.com/vitobotta/hetzner-k3s,2000
getmango,Mango,https://www.github.com/getmango/Mango,1700
ffwff,lilith,https://www.github.com/ffwff/lilith,1200
drujensen,fib,https://www.github.com/drujensen/fib,879
hanabi1224,Programming-Language-Benchmarks,https://www.github.com/hanabi1224/Programming-Language-Benchmarks,687
amethyst-framework,amethyst,https://www.github.com/amethyst-framework/amethyst,645
owasp-noir,noir,https://www.github.com/owasp-noir/noir,642
askn,crystal-by-example,https://www.github.com/askn/crystal-by-example,550
crystal-ameba,ameba,https://www.github.com/crystal-ameba/ameba,524
crystal-community,icr,https://www.github.com/crystal-community/icr,504
will,crystal-pg,https://www.github.com/will/crystal-pg,462
elbywan,crystalline,https://www.github.com/elbywan/crystalline,453
martenframework,marten,https://www.github.com/martenframework/marten,428
imdrasil,jennifer.cr,https://www.github.com/imdrasil/jennifer.cr,421
vim-crystal,vim-crystal,https://www.github.com/vim-crystal/vim-crystal,418
